Display,Workstream,Service_Title,Customer_Story,Suggested_Path,Assumptions,Estimated_Low_Hours,Estimated_High_Hours,Contracted_Hours,Requires_Clarification,Function,Library_ID,Project_ID,Internal_Notes,Task_Link
Now,Solution Design,Technical Specifications - Magento Integration,"As the JLG team, we need technical specifications for how HubSpot will integrate with Magento for subscription orders and loyalty data.","A8 will create TRD for Magento integration including: subscription order sync (Magento > HubSpot > SAP), book order handling, loyalty tier sync, order data mapping, and integration method (likely custom given no in-house developers).",- Magento hosted on Linux/MySQL on AWS - Bidirectional connection for subscription orders - Subscription orders must flow through CRM/HubSpot before SAP - Book orders go directly to SAP (may not need HubSpot integration) - 4-tier loyalty program based on annual revenue - Web one-click renewal process needs to integrate - No in-house developers - A8 must build integration - Potential Shopify Plus migration in late 2026 (may make this sunken cost) - Solution Engineering hours included,15,18,17,FALSE,Solutions Engineering,,,,
Now,Solution Design,Technical Specifications - Data Model & Custom Objects,"As the JLG team, we need a detailed data model that supports our complex school/district relationships and subscription management.","A8 will create ERD showing: Company (Districts), Custom Object (Schools), Contacts with many-to-many associations, Deals/Opportunities, Custom Objects (Subscriptions, Subscription Detail, Suggested Products, Processing Cohort, Loyalty, Tax Exemption, Bids and Contracts). Include association labels, required properties, and data flow diagrams.","- Many-to-many relationship required: Contacts can be associated to multiple Schools, Schools associated to Districts - Notes flow up from School to District level - Deals stay at individual School level (don't roll up) - Custom objects needed from Dynamics: Subscriptions, Subscription Detail, Issue Table (Product Calculation), Loyalty, Suggested Products, Tax Exemption, Processing Cohort Opportunities, One Click, Discount Pricing, Bids and Contracts - No Lead object used - Accounts only - Email/call/meeting logging must work at School level - Solution Engineering hours included",15,18,17,FALSE,Solutions Engineering,,,,
Now,Solution Design,Technical Specifications - Dynamics 365 Data Migration,"As the JLG team, we need a detailed migration plan to move our Dynamics 365 data to HubSpot without disruption.","A8 will create migration specification including: objects to migrate (Accounts, Contacts, Opportunities, Orders, all custom objects), data mapping document, data cleansing requirements, historical data retention rules, delta migration approach, cutover plan.","- Dynamics 365 hosted on Azure SQL Server - 70 users currently in Dynamics - Migration objects: Contacts, Companies, Deals, Custom Objects (Schools, Districts, Subscriptions, etc.), Workflows, Sales automation, Lists - Historical activities and engagements to migrate - Need to define what constitutes ""historical"" for migration - MDR enrichment tool currently synced - needs to continue in HubSpot - Dynamics is month-to-month - flexible cutover timing - Solution Engineering hours included",15,18,17,FALSE,Solutions Engineering,,,,
Now,Solution Design,Technical Specifications - Marketo Asset Migration,As the JLG team we need specifications for migrating our Marketo assets and automations to HubSpot Marketing Hub.,"A8 will create migration specification including: workflows/journey mapping, email template migration approach, landing page recreation strategy, form migration, list segmentation, lead scoring model transition, and contact migration plan (100K contacts).","- 100K contacts in Marketo - 5-6 detailed journeys to recreate - Workflows with lead scoring - Landing pages (quantity TBD in discovery) - Email templates (quantity TBD) - Forms (quantity TBD) - Lists and segmentation rules - Note: Marketo renewal Feb 28 - timeline very tight, extension needed - May be Phase 2 after CRM/SAP integration per JLG's priorities - Solution Engineering hours included",12,15,14,FALSE,Strategy,,,,
Now,Solution Design,Functional Requirements - Sales Process Automation,"As the JLG team, we need detailed functional requirements for our new business and renewal sales processes in HubSpot.","A8 will create FRD including: pipeline stage definitions for new business and renewals, automation workflows for cohort-based renewal opportunity generation, task assignment rules, notification triggers, required properties per stage, deal record layouts, and reporting requirements.","- Two pipelines needed: New Business and Renewal - Renewal process: scheduler opens cohorts, auto-generates opportunities with quotes - Quote generation: manual PDF option OR dynamic URL self-service - Self-service portal allows customer to select upsells - Processing Cohort custom object manages renewal timing - Suggested Products algorithm recommends upsells based on district/school/state data - Discount Pricing automation based on timing and fulfillment status - 35-40 sales users need adoption",12,15,14,FALSE,Strategy,,,,
Now,Solution Design,Functional Requirements - Quote & Subscription Management,"As the JLG team, we need functional requirements for quote generation, subscription management, and self-service renewal processes.","A8 will create FRD for: quote creation workflows (manual vs automated), self-service renewal portal design, upsell functionality, subscription line items, discount application rules, approval processes (if needed), quote templates, and subscription detail tracking.","- Multiple quote methods: manual PDF, automated web-based, self-service URL - Self-service portal: dynamic URL allows customer to upsell, modify subscription - Currently built on Dynamics 365 portal functionality - Need to determine if HubSpot quotes sufficient or if custom portal needed - Discount functionality: marketing team sets discounts, applied at quote generation - Subscription and Subscription Detail objects track products/categories - 73 product categories available - Suggested Products shows top 3 recommendations based on peer purchases",12,16,14,FALSE,Strategy,,,,
Now,Solution Design,Solution Architecture Document - Integration Strategy,"As the JLG team, we need a comprehensive architecture document showing how all systems will connect and work together.","A8 will create Solution Architecture Document showing: high-level system design with HubSpot as central CRM, all integration points (SAP, Magento, MDR, Zoom, Power BI), data flow diagrams, integration methods and rationale, scalability considerations, risk assessments, and phasing recommendations.","- HubSpot will replace Dynamics 365 as CRM - Integrations needed: SAP Business One (complex, custom), Magento (custom), MDR (enrichment), Zoom (calling), Power BI (reporting) - Current state: heavily customized Dynamics with many custom objects and automations - Goal: reduce cost, improve efficiency, enable cross-sell between brands - Shopify Plus potential future state - Phase 1: CRM + SAP integration - Phase 2: Marketing/Marketo migration - Phase 3: Magento integration (or wait for Shopify) - Solution Engineering hours included",12,15,14,FALSE,Solutions Engineering,,,,
Now,Solution Design,Implementation Plan & Phasing Strategy,"As the JLG team, we need a detailed project plan with phases, timelines, and resource allocation.","A8 will create implementation plan with: Phase 1 (CRM + SAP integration), Phase 2 (Marketing migration), Phase 3 (Magento integration), detailed timelines, resource needs, dependencies, critical path, risk mitigation, success metrics, and budget phasing.","- Priority 1: CRM and SAP integration (biggest risk/reward per Jon) - Priority 2: Marketing/Marketo migration (lower priority per Jon, Feb 28 not feasible) - Priority 3: Magento integration (may defer if Shopify Plus decision made) - Dynamics is month-to-month (flexible) - Marketo renews end of Q1 (need extension) - Busy season: mid-late March (need to be operational by then ideally) - Budget constraints: Rick needs phased costs and ROI justification - 35-40 sales users need adoption and training",15,18,17,FALSE,Consulting,,,,
Now,Workshops,Sales Process Workshop - New Business & Renewals,"As the JLG team, we need workshops to define our future-state sales processes in HubSpot, including sequences, automation, and best practices.","A8 will facilitate workshops to design: pipeline stages and automation, renewal cohort processes, email sequences for new business, task automation, notification preferences, reporting dashboards, and training needs. Build POC of renewal automation for validation.","- Workshop sales team - Focus on new business pipeline and renewal pipeline separately - Renewal process is complex and automated - needs thorough workshop - Discuss: timing of cohort opening, quote generation approach, self-service vs rep-led - Define email sequences and cadences for new business - Determine success metrics and reporting needs - Build POC of renewal automation for leadership approval",12,15,14,FALSE,Strategy,,,,
Now,Workshops,Quote & Subscription Workshop,"As the JLG team, we need a workshop to define how quoting, discounting, and subscription management will work in HubSpot.","A8 will facilitate workshop to design: quote generation workflows, self-service portal requirements, discount automation rules, subscription line item structure, suggested products display, and upsell process. Demo potential solutions and gather feedback.","- Workshop with team - Define: Manual quote process vs self-service URL approach - Determine if HubSpot native quotes sufficient or custom portal needed - Design discount application rules (timing-based, fulfillment-based) - Map suggested products algorithm logic - Define upsell workflow in self-service scenario - Demo HubSpot quotes functionality - Demo potential custom portal options",8,10,9,FALSE,Strategy,,,,
Now,Workshops,Data & Integration Workshop,"As the JLG team, we need workshops to finalize data flows, integration architecture, and migration approach.","A8 will facilitate technical workshops with IT team, and SAP vendor to finalize: database view access strategy, API integration methods, data transformation rules, sync frequency, error handling, migration cutover approach, and testing plan.",- Workshop with team potentially SAP hosting partner representative - Review technical diagrams in detail - Define database view access for SAP reads - Determine API strategy for SAP writes - Map data transformations for each integration point - Discuss vendor security approval for SAP hosting partner - Define migration approach and cutover plan - Discuss Power BI reporting needs and how data will be available,10,12,11,FALSE,Solutions Engineering,,,,
Now,Workshops,Marketing Automation Workshop,"As the JLG team, we need a workshop to define our marketing automation strategy in HubSpot and prioritize which Marketo assets to migrate.","A8 will facilitate workshop to: audit Marketo assets, prioritize migration items, redesign workflows/journeys for HubSpot, define lead scoring model, plan landing pages and forms, discuss brand segmentation, and cross-sell automation opportunities.","- Workshop with marketing team members - Audit existing Marketo setup: 5-6 journeys, workflows, lead scoring, templates - Prioritize what MUST migrate vs what can be retired - Redesign journeys for HubSpot (functionality differences) - Discuss lead scoring model transition - Plan for brand segmentation and cross-sell opportunities - Define Phase 2 timeline and success metrics ",8,15,12,FALSE,Strategy,,,,
Now,Project Planning,Overall Project Plan & Timeline,"As the JLG team, we need a comprehensive project plan with all phases, dependencies, and milestones.","A8 will create detailed project plan including: all workstreams, task dependencies, resource allocation (A8 and JLG team), milestone dates, critical path analysis, risk mitigation, communication plan, and success metrics. Gantt chart and weekly status reporting structure.","- Project phases: Discovery, Design, Build ",18,25,22,FALSE,Strategy,,,,
Now,Presentation,Executive Presentation - Discovery Findings,"As the JLG team, and leadership, we need a presentation of discovery findings and recommendations.","A8 will create and present executive-level presentation covering: current state assessment, key findings, recommended solution architecture, phasing strategy, timeline, budget estimates, risk assessment, and ROI projections. Present to leadership for approval to proceed.","- Presentation - Deck should cover: current pain points, recommended HubSpot solution, integration strategy, phasing, timeline, detailed budget, ROI - Need to present cost comparison: current state (Marketo $20K/qtr, Dynamics $27K/qtr) vs HubSpot - Integration costs for SAP and Magento will be significant - Emphasize: cost savings, efficiency gains, cross-sell/upsell revenue potential - 1 presentation expected - Includes prep time for deck creation",15,20,18,FALSE,Strategy,,,,
,Presentation,Solution Design Presentation - Detailed Walkthrough,"As the JLG team, we need a detailed presentation of the solution design and implementation plan.","A8 will present detailed solution design including: technical architecture, data model, integration specifications, process flows, UI/UX designs, implementation plan, testing approach, training plan, and change management strategy. Gather feedback and obtain sign-off.","- Presentation - Detailed walkthrough of all technical specifications and functional requirements - Review ERD, data flows, integration architecture, process maps - Demo POCs of key functionality (renewal automation, suggested products, etc.) - Review implementation timeline and dependencies - Obtain sign-off on solution before build begins - Includes prep time",12,15,14,FALSE,Strategy,,,,
,Implementation Support,Implementation Handoff & Team Onboarding,"As the JLG project team, we need Aptitude 8 strategy team to support the implementation team during transition and first month of build.","A8 strategy team will: onboard implementation team on all requirements and design documents, attend first 4 weekly status meetings, be available for clarification questions, support scope management, and ensure smooth transition from design to build.",- Strategy team will support implementation team - Handoff sessions to review all documentation - First month of weekly status meetings to support questions - Scope clarification and change request management - Support with client communication if issues arise - Does not include ongoing project management (separate line item),10,15,13,FALSE,Strategy,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
